Elijah Wood:nm0000704
Robin Wright:nm0000705
Michelle Yeoh:nm0000706
Sean Young:nm0000707
Billy Zane:nm0000708
Robert Zemeckis:nm0000709
David Raksin:nm0000710
Rick Baker:nm0000711
Steve Cohen:nm0000712
Joel Oliansky:nm0000713
Willie Aames:nm0000714
Caroline Aaron:nm0000715
Paula Abdul:nm0000716
Kareem Abdu:nm0000717
Ian Abercrombie:nm0000718
F. Murray Abraham:nm0000719
Jim Abrahams:nm0000720
Victoria Abril:nm0000721
Joss Ackland:nm0000722
Deborah Adair:nm0000723
Brooke Adams:nm0000724
Joey Lauren Adams:nm0000725
Maud Adams:nm0000726
Percy Adlon:nm0000727
Mario Adorf:nm0000728
Casey Affleck:nm0000729
John Agar:nm0000730
Brian Aherne:nm0000731
Danny Aiello:nm0000732
Anouk Aimée:nm0000733
Eddie Albert:nm0000734
Brian Aldiss:nm0000735
Robert Aldrich:nm0000736
Jane Alexander:nm0000737
Muhammad Ali:nm0000738
Debbie Allen:nm0000739
Irwin Allen:nm0000740
Tim Allen:nm0000741
June Allyson:nm0000742
Néstor Almendros:nm0000743
Maria Conchita Alonso:nm0000744
Carol Alt:nm0000745
Trini Alvarado:nm0000746
Don Ameche:nm0000747
Leon Ames:nm0000748
Mädchen Amick:nm0000749
Jon Amiel:nm0000750
Suzy Amis:nm0000751
Judith Anderson:nm0000752
Juliet Anderson:nm0000753
Kevin Anderson:nm0000754
Lindsay Anderson:nm0000755
Loni Anderson:nm0000756
Melissa Sue Anderson:nm0000757
Melody Anderson:nm0000758
Paul Thomas Anderson:nm0000759
Richard Dean Anderson:nm0000760
Bibi Andersson:nm0000761
Anthony Andrews:nm0000762
Dana Andrews:nm0000763
André the Giant:nm0000764
Pier Angeli:nm0000765
Theodoros Angelopoulos:nm0000766
Jea:nm0000767
Francesca Annis:nm0000768
Susan Anspach:nm0000769
David Anspaugh:nm0000770
Lysette Anthony:nm0000771
Susan Anton:nm0000772
Laura Antonelli:nm0000773
Michelangelo Antonioni:nm0000774
Christina Applegate:nm0000775
Michael Apted:nm0000776
Gregg Araki:nm0000777
Alfonso Arau:nm0000778
Roscoe 'Fatty' Arbuckle:nm0000779
Denys Arcand:nm0000780
Eve Arden:nm0000781
Asia Argento:nm0000782
Dario Argento:nm0000783
Pedro Armendáriz:nm0000784
Alison Armitage:nm0000785
George Armitage:nm0000786
Bess Armstrong:nm0000787
Gillian Armstrong:nm0000788
Desi Arnaz:nm0000789
James Arness:nm0000790
Jack Arnold:nm0000791
Tom Arnold:nm0000792
Alexis Arquette:nm0000793
Lewis Arquette:nm0000794
Jean Arthur:nm0000795
Dana Ashbrook:nm0000796
Hal Ashby:nm0000797
Linden Ashby:nm0000798
Edward Asner:nm0000799
Armand Assante:nm0000800
Olivier Assayas:nm0000801
Mary Astor:nm0000802
Christopher Atkins:nm0000803
Stéphane Audran:nm0000804
Claudine Auger:nm0000805
Bille August:nm0000806
Jane Austen:nm0000807
Paul Auster:nm0000808
Daniel Auteuil:nm0000809
Gene Autry:nm0000810
Frankie Avalon:nm0000811
Roger Avary:nm0000812
Tex Avery:nm0000813
John G. Avildsen:nm0000814
Mili Avital:nm0000815
Jon Avnet:nm0000816
Lew Ayres:nm0000817
Shabana Azmi:nm0000818
Barbara Bach:nm0000819
Burt Bacharach:nm0000820
Amitabh Bachchan:nm0000821
Jim Backus:nm0000822
Angelo Badalamenti:nm0000823
John Badham:nm0000824
Mary Badham:nm0000825
Jane Badler:nm0000826
Maxine Bahns:nm0000827
Barbara Bain:nm0000828
Stuart Baird:nm0000829
Oksana Baiul:nm0000830
